Wall time,Step,Value
1775645086.8298047,1,4.999999873689376e-06
1775645087.9855204,2,4.999999873689376e-06
1775645090.1007092,3,4.999999873689376e-06
1775645090.3778687,4,4.999999873689376e-06
1775645092.7988522,5,4.999999873689376e-06
1775645093.9329042,6,4.999999873689376e-06
1775645095.1068542,7,4.999999873689376e-06
1775645096.2695835,8,4.999999873689376e-06
1775645097.4961045,9,4.999999873689376e-06
1775645098.7045007,10,4.999999873689376e-06
1775645099.8959372,11,4.999999873689376e-06
1775645101.087943,12,4.999999873689376e-06
1775645102.2237372,13,4.999999873689376e-06
1775645103.359809,14,4.999999873689376e-06
1775645103.5937088,15,4.999999873689376e-06
1775645105.7037387,16,4.999999873689376e-06
1775645106.900663,17,4.999999873689376e-06
1775645108.052472,18,4.999999873689376e-06
1775645109.2187285,19,4.999999873689376e-06
1775645109.4296703,20,4.999999873689376e-06
1775645110.6871588,21,4.999999873689376e-06
1775645111.8085918,22,4.999999873689376e-06
1775645114.2254076,23,4.999999873689376e-06
1775645114.4502468,24,4.999999873689376e-06
1775645117.0475585,25,4.999999873689376e-06
1775645118.3329923,26,4.999999873689376e-06
1775645119.5499096,27,4.999999873689376e-06
1775645120.6743913,28,4.999999873689376e-06
1775645122.8669994,29,4.999999873689376e-06
1775645125.4859087,30,4.999999873689376e-06
1775645128.4022799,31,4.999999873689376e-06
1775645131.1457934,32,4.999999873689376e-06
1775645134.1264598,33,4.999999873689376e-06
1775645162.8723004,34,4.999999873689376e-06
1775645163.1383677,35,4.999999873689376e-06
1775645163.38204,36,4.999999873689376e-06
1775645163.6112528,37,4.999999873689376e-06
1775645163.840402,38,4.999999873689376e-06
1775645164.0648818,39,4.999999873689376e-06
1775645164.2793577,40,4.999999873689376e-06
1775645164.4873605,41,4.999999873689376e-06
1775645164.704931,42,4.999999873689376e-06
1775645164.9142292,43,4.999999873689376e-06
1775645165.134118,44,4.999999873689376e-06
1775645165.3410437,45,4.999999873689376e-06
1775645165.5500147,46,4.999999873689376e-06
1775645165.7595692,47,4.999999873689376e-06
1775645165.9746935,48,4.999999873689376e-06
1775645166.1886172,49,4.999999873689376e-06
1775645166.4010534,50,4.999999873689376e-06
1775645166.6423159,51,4.999999873689376e-06
1775645166.875077,52,4.999999873689376e-06
1775645167.124962,53,4.999999873689376e-06
1775645167.3351173,54,4.999999873689376e-06
1775645167.5504532,55,4.999999873689376e-06
1775645167.7655334,56,4.999999873689376e-06
1775645167.980136,57,4.999999873689376e-06
1775645168.1996713,58,4.999999873689376e-06
1775645168.4088898,59,4.999999873689376e-06
1775645168.6239047,60,4.999999873689376e-06
1775645168.8307817,61,4.999999873689376e-06
1775645169.0408866,62,4.999999873689376e-06
1775645169.2649748,63,4.999999873689376e-06
1775645169.479074,64,4.999999873689376e-06
1775645169.709243,65,4.999999873689376e-06
1775645169.9245052,66,4.999999873689376e-06
1775645201.5431633,67,4.999999873689376e-06
1775645201.9271166,68,4.999999873689376e-06
1775645202.210385,69,4.999999873689376e-06
1775645202.4819481,70,4.999999873689376e-06
1775645202.7408617,71,4.999999873689376e-06
1775645203.0082178,72,4.999999873689376e-06
1775645203.2635677,73,4.999999873689376e-06
1775645203.566447,74,4.999999873689376e-06
1775645203.8308952,75,4.999999873689376e-06
1775645204.0871577,76,4.999999873689376e-06
1775645204.3522222,77,4.999999873689376e-06
1775645204.600857,78,4.999999873689376e-06
1775645204.8479314,79,4.999999873689376e-06
1775645205.0904408,80,4.999999873689376e-06
1775645205.342933,81,4.999999873689376e-06
1775645205.6198392,82,4.999999873689376e-06
1775645205.8783858,83,4.999999873689376e-06
1775645206.1206443,84,4.999999873689376e-06
1775645206.3879478,85,4.999999873689376e-06
1775645206.6445432,86,4.999999873689376e-06
1775645206.894554,87,4.999999873689376e-06
1775645207.141409,88,4.999999873689376e-06
1775645207.398438,89,4.999999873689376e-06
1775645207.6567926,90,4.999999873689376e-06
1775645207.9324913,91,4.999999873689376e-06
1775645208.2006214,92,4.999999873689376e-06
1775645208.4480925,93,4.999999873689376e-06
1775645208.6992345,94,4.999999873689376e-06
1775645208.9451575,95,4.999999873689376e-06
1775645209.2187874,96,4.999999873689376e-06
1775645209.5173202,97,4.999999873689376e-06
1775645209.7901363,98,4.999999873689376e-06
1775645210.0640109,99,4.999999873689376e-06
