Wall time,Step,Value
1775645086.8306785,1,3.9334659576416016
1775645087.9910212,2,3.5823700428009033
1775645090.1064599,3,3.3534131050109863
1775645090.3840356,4,3.2368357181549072
1775645092.801908,5,3.1444270610809326
1775645093.93951,6,3.4148244857788086
1775645095.1112566,7,3.2755744457244873
1775645096.2755857,8,3.0560717582702637
1775645097.5027683,9,3.1253433227539062
1775645098.7107599,10,3.3246731758117676
1775645099.9024296,11,3.3082010746002197
1775645101.0926707,12,3.120009183883667
1775645102.2284162,13,3.3357748985290527
1775645103.3663394,14,3.223313331604004
1775645103.593844,15,3.241527557373047
1775645105.7098863,16,3.2632009983062744
1775645106.9073236,17,3.2873787879943848
1775645108.056898,18,3.2885756492614746
1775645109.2253134,19,3.4740328788757324
1775645109.4358566,20,3.5207390785217285
1775645110.6930377,21,3.6150155067443848
1775645111.8134758,22,3.493805408477783
1775645114.23139,23,3.363226890563965
1775645114.4564104,24,3.2431864738464355
1775645117.0508525,25,3.4852638244628906
1775645118.3397138,26,3.5688138008117676
1775645119.5565739,27,3.6327507495880127
1775645120.6807706,28,3.53914475440979
1775645122.8727195,29,3.36616849899292
1775645125.4860764,30,3.8317108154296875
1775645128.4052687,31,3.4963300228118896
1775645131.1516666,32,3.8216381072998047
1775645134.1278865,33,3.7537050247192383
1775645162.8728943,34,3.8406665325164795
1775645163.1444895,35,3.911827802658081
1775645163.386038,36,3.7564942836761475
1775645163.6176708,37,3.6840007305145264
1775645163.8466785,38,3.616483449935913
1775645164.0713143,39,4.0578813552856445
1775645164.2859704,40,3.850322723388672
1775645164.4939232,41,3.4116294384002686
1775645164.7105615,42,3.486570119857788
1775645164.9209924,43,3.6206681728363037
1775645165.1407156,44,3.806422472000122
1775645165.34768,45,3.741745710372925
1775645165.5565786,46,4.080094814300537
1775645165.7661536,47,4.055149078369141
1775645165.9810266,48,3.667004108428955
1775645166.1948464,49,3.717228889465332
1775645166.4072618,50,3.959275007247925
1775645166.648371,51,3.7584524154663086
1775645166.8810058,52,4.000446796417236
1775645167.1310096,53,4.480218887329102
1775645167.3412755,54,4.063838005065918
1775645167.556501,55,3.9112775325775146
1775645167.7717965,56,3.9452738761901855
1775645167.9863791,57,3.7656900882720947
1775645168.2058268,58,3.791172742843628
1775645168.4150324,59,3.9760963916778564
1775645168.6298158,60,4.178990364074707
1775645168.837006,61,3.8898890018463135
1775645169.046888,62,3.815007209777832
1775645169.2710152,63,4.364269733428955
1775645169.4852235,64,3.946819305419922
1775645169.7104237,65,4.298367977142334
1775645169.9293816,66,4.131458282470703
1775645201.5445893,67,4.278794288635254
1775645201.9310331,68,4.347419738769531
1775645202.216018,69,4.477522373199463
1775645202.4848757,70,4.336298942565918
1775645202.7460384,71,4.591830730438232
1775645203.0141008,72,4.663010597229004
1775645203.2658207,73,4.493199825286865
1775645203.5701296,74,4.267171382904053
1775645203.8347535,75,4.38746452331543
1775645204.092985,76,4.666216850280762
1775645204.3580592,77,4.302075386047363
1775645204.6065688,78,4.5887250900268555
1775645204.8533823,79,4.334482192993164
1775645205.0961006,80,4.894343852996826
1775645205.3482206,81,4.3683180809021
1775645205.6254508,82,4.656661033630371
1775645205.8844664,83,4.570108413696289
1775645206.1263137,84,4.634989261627197
1775645206.3923016,85,5.170536994934082
1775645206.6502655,86,4.998612880706787
1775645206.900341,87,5.177404880523682
1775645207.1416802,88,4.851707458496094
1775645207.403861,89,4.872410297393799
1775645207.6622763,90,4.509237766265869
1775645207.937099,91,4.694986343383789
1775645208.2060204,92,4.752999782562256
1775645208.4531884,93,5.228372097015381
1775645208.7050774,94,4.95119571685791
1775645208.9508636,95,4.681231498718262
1775645209.2245765,96,5.182640552520752
1775645209.5210896,97,5.135077953338623
1775645209.7959125,98,5.164942264556885
1775645210.0693817,99,4.96480131149292
